event_id,participant_id,session_id,recording_date,scenario_id,worker_id,helmet_id,hazard_id,hazard_type,occurred_at,event_duration_seconds,rssi_mean,rssi_peak,rssi_min,rssi_std,rssi_slope,warning_duration_seconds,danger_duration_seconds,state_transition_count,packet_loss_count,acceleration_max_g,gyroscope_max_dps,orientation_change_deg,sudden_motion,candidate_impact,candidate_fall,post_event_stillness_seconds,temperature_c,humidity_percent,mq135_deviation,hazard_active,alarm_level,local_warning_success,repeated_exposure_count,similar_event_count,connectivity_status,supervisor_priority,verification_label,label_source,data_origin
EVT-SYN-0000001,P001,S01,2026-01-15,NORMAL_WORK_NEAR_MACHINE,W01,HELMET-W01,F03,FORKLIFT,2026-01-15T07:00:00+00:00,11.657,-70.356,-61.212,-77.401,5.138,-1.4862,6.881,1.599,3,0,1.0036,76.702,0.0,False,False,False,0.96,32.834,54.063,-58.932,False,MODERATE,True,1,0,ONLINE,LOW,SYNTHETIC_NORMAL_ACTIVITY,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000002,P002,S01,2026-01-18,FORKLIFT_CROSSING,W02,HELMET-W02,F02,FORKLIFT,2026-01-18T07:00:00+00:00,15.505,-65.249,-55.215,-75.199,6.98,1.5439,6.67,6.736,3,0,1.9513,116.212,8.773,False,False,False,0.967,30.189,47.554,-177.402,True,CRITICAL,True,2,1,ONLINE,MEDIUM,SIMULATED_HIGH_RISK,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000003,P003,S01,2026-01-21,IMPACT_CANDIDATE,W03,HELMET-W03,G01,GRINDING_MACHINE,2026-01-21T07:00:00+00:00,10.381,-61.263,-56.194,-67.273,3.664,1.5159,4.914,3.238,3,1,4.8695,320.375,47.153,True,True,False,2.886,28.206,48.067,258.152,True,CRITICAL,True,2,1,ONLINE,HIGH,SIMULATED_IMPACT_CANDIDATE,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000004,P004,S01,2026-01-24,NORMAL_PASSAGE,W04,HELMET-W04,L01,LASER_CUTTER,2026-01-24T07:00:00+00:00,1.72,-85.337,-79.936,-89.664,2.523,0.7217,0.813,0.151,5,1,1.3723,48.497,0.0,False,False,False,0.0,28.158,70.423,168.61,False,SAFE,True,1,0,ONLINE,LOW,SYNTHETIC_NORMAL_ACTIVITY,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000005,P005,S01,2026-01-27,IMPACT_CANDIDATE,W05,HELMET-W05,F01,FORKLIFT,2026-01-27T07:00:00+00:00,10.801,-67.354,-57.643,-77.644,5.639,1.7624,4.421,3.441,3,0,5.7555,286.246,53.331,True,False,False,0.977,30.436,68.105,100.497,True,HIGH,True,3,1,ONLINE,MEDIUM,SIMULATED_IMPACT_CANDIDATE,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000006,P006,S01,2026-01-30,RSSI_FLUCTUATION,W06,HELMET-W06,F03,FORKLIFT,2026-01-30T07:00:00+00:00,5.459,-72.636,-62.443,-83.177,6.888,0.9573,3.798,0.0,1,2,0.8,19.058,16.307,False,False,False,0.0,30.592,73.32,-172.826,False,MODERATE,True,1,1,ONLINE,LOW,SYNTHETIC_FALSE_ALARM,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000007,P007,S01,2026-02-02,PROLONGED_DANGER,W07,HELMET-W07,G01,GRINDING_MACHINE,2026-02-02T07:00:00+00:00,9.45,-61.113,-55.637,-67.466,3.934,-0.3279,2.465,6.218,3,3,1.9837,96.688,14.615,False,False,False,0.0,30.196,64.071,114.832,True,CRITICAL,True,2,1,ONLINE,MEDIUM,SIMULATED_HIGH_RISK,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000008,P008,S01,2026-02-05,SUDDEN_MOTION_AFTER_WARNING,W08,HELMET-W08,L01,LASER_CUTTER,2026-02-05T07:00:00+00:00,11.358,-58.559,-56.026,-62.803,1.978,0.4725,4.989,4.317,3,1,3.0508,258.978,32.222,True,True,False,3.596,29.846,63.634,761.302,True,CRITICAL,True,0,0,ONLINE,HIGH,SIMULATED_HIGH_RISK,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000009,P009,S01,2026-02-08,NORMAL_WORK_NEAR_MACHINE,W09,HELMET-W09,F02,FORKLIFT,2026-02-08T07:00:00+00:00,8.261,-72.208,-65.83,-79.557,4.522,0.1551,6.159,0.809,0,0,1.3059,27.057,7.149,False,False,False,0.424,32.845,69.466,31.171,True,HIGH,True,0,0,ONLINE,LOW,SYNTHETIC_NORMAL_ACTIVITY,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000010,P010,S01,2026-02-11,BLE_PACKET_LOSS,W10,HELMET-W10,F03,FORKLIFT,2026-02-11T07:00:00+00:00,7.6,-74.707,-65.827,-83.16,4.237,0.408,3.045,1.772,1,5,1.2408,70.517,11.383,False,False,False,2.604,33.957,53.238,-53.428,True,HIGH,True,1,1,ONLINE,LOW,SYNTHETIC_INSUFFICIENT_EVIDENCE,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000011,P011,S01,2026-02-14,NORMAL_WORK_NEAR_MACHINE,W11,HELMET-W11,F02,FORKLIFT,2026-02-14T07:00:00+00:00,9.676,-72.651,-70.334,-73.58,0.4,-1.1169,8.451,0.0,3,2,1.7335,33.008,10.888,False,False,False,0.0,29.55,55.23,236.702,True,MODERATE,True,0,0,ONLINE,LOW,SYNTHETIC_NORMAL_ACTIVITY,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000012,P012,S01,2026-02-17,NORMAL_PASSAGE,W12,HELMET-W12,G01,GRINDING_MACHINE,2026-02-17T07:00:00+00:00,5.861,-82.551,-78.149,-84.667,0.8,0.8282,4.418,0.481,2,3,1.3421,30.337,0.0,False,False,False,1.626,27.771,53.443,356.518,True,SAFE,True,1,0,ONLINE,MEDIUM,SYNTHETIC_NORMAL_ACTIVITY,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000013,P013,S01,2026-02-20,SUDDEN_MOTION_AFTER_WARNING,W13,HELMET-W13,L01,LASER_CUTTER,2026-02-20T07:00:00+00:00,10.608,-65.083,-60.267,-71.267,3.057,0.9538,3.886,3.97,3,1,3.2672,228.55,34.046,True,False,False,0.0,27.836,74.005,234.91,True,CRITICAL,True,1,1,ONLINE,MEDIUM,SIMULATED_HIGH_RISK,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000014,P014,S01,2026-02-23,NORMAL_WORK_NEAR_MACHINE,W14,HELMET-W14,F03,FORKLIFT,2026-02-23T07:00:00+00:00,9.344,-78.133,-74.73,-83.748,2.932,1.3918,7.053,0.0,3,0,1.5238,56.839,16.79,False,False,False,0.0,31.877,59.766,195.898,True,MODERATE,True,2,3,ONLINE,LOW,SYNTHETIC_NORMAL_ACTIVITY,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000015,P015,S01,2026-02-26,REPEATED_EXPOSURE,W15,HELMET-W15,F01,FORKLIFT,2026-02-26T07:00:00+00:00,10.719,-65.218,-61.074,-69.38,2.308,1.0985,6.34,2.577,1,2,2.1125,145.284,26.579,False,False,False,3.364,34.525,59.457,159.331,True,HIGH,True,4,2,ONLINE,LOW,SIMULATED_REPEATED_EXPOSURE,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000016,P016,S01,2026-03-01,NORMAL_PASSAGE,W16,HELMET-W16,L01,LASER_CUTTER,2026-03-01T07:00:00+00:00,7.874,-78.296,-70.225,-87.333,5.609,0.1806,5.147,1.579,2,0,0.8209,0.0,0.0,False,False,False,2.948,31.139,62.034,109.426,False,MODERATE,True,0,0,ONLINE,LOW,SYNTHETIC_NORMAL_ACTIVITY,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000017,P017,S01,2026-03-04,IMPACT_CANDIDATE,W17,HELMET-W17,F03,FORKLIFT,2026-03-04T07:00:00+00:00,4.965,-68.867,-66.284,-73.815,1.82,-0.3948,2.663,1.346,2,0,4.958,310.169,55.036,True,True,False,2.717,29.165,49.415,39.925,True,HIGH,True,1,0,ONLINE,MEDIUM,SIMULATED_IMPACT_CANDIDATE,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000018,P018,S01,2026-03-07,BLE_PACKET_LOSS,W18,HELMET-W18,G01,GRINDING_MACHINE,2026-03-07T07:00:00+00:00,7.337,-72.977,-62.81,-81.582,5.458,-0.3937,5.833,1.394,1,7,1.1206,77.963,1.394,False,False,False,3.74,30.094,76.853,137.956,True,HIGH,True,0,0,DEGRADED,LOW,SYNTHETIC_INSUFFICIENT_EVIDENCE,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000019,P019,S01,2026-03-10,RSSI_FLUCTUATION,W19,HELMET-W19,F02,FORKLIFT,2026-03-10T07:00:00+00:00,10.936,-75.398,-61.701,-89.361,9.282,0.0479,5.847,1.842,3,2,1.6134,49.328,28.589,False,False,False,1.453,32.803,55.272,238.292,True,HIGH,True,0,0,ONLINE,LOW,SYNTHETIC_FALSE_ALARM,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000020,P020,S01,2026-03-13,NORMAL_WORK_NEAR_MACHINE,W20,HELMET-W20,L01,LASER_CUTTER,2026-03-13T07:00:00+00:00,9.931,-71.231,-68.023,-77.263,2.947,-0.724,7.633,0.0,2,1,1.8768,31.125,0.54,False,False,False,0.453,31.675,57.813,88.706,True,MODERATE,True,0,0,ONLINE,LOW,SYNTHETIC_NORMAL_ACTIVITY,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000021,P021,S01,2026-03-16,RSSI_FLUCTUATION,W01,HELMET-W01,F03,FORKLIFT,2026-03-16T07:00:00+00:00,5.5,-72.038,-61.663,-82.147,7.539,1.3026,3.743,0.354,2,2,1.5446,31.009,0.0,False,False,False,0.0,32.828,56.289,-250.0,True,HIGH,True,0,0,ONLINE,LOW,SYNTHETIC_FALSE_ALARM,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000022,P022,S01,2026-03-19,NORMAL_WORK_NEAR_MACHINE,W02,HELMET-W02,F01,FORKLIFT,2026-03-19T07:00:00+00:00,8.244,-73.866,-71.264,-76.417,1.811,-0.8337,6.776,1.325,0,2,1.2475,47.133,7.084,False,False,False,0.0,30.556,52.16,282.934,True,HIGH,True,2,0,ONLINE,LOW,SYNTHETIC_NORMAL_ACTIVITY,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
EVT-SYN-0000023,P023,S01,2026-03-22,FALL_CANDIDATE,W03,HELMET-W03,F03,FORKLIFT,2026-03-22T07:00:00+00:00,7.96,-67.483,-59.265,-74.622,4.643,-0.7065,3.594,2.589,2,2,3.5078,405.051,69.652,True,False,True,5.117,33.177,54.067,210.54,True,HIGH,True,0,0,ONLINE,MEDIUM,SIMULATED_FALL_CANDIDATE,SYNTHETIC_SCENARIO_POLICY_WITH_NOISE,SYNTHETIC
