window_id,participant_id,session_id,recording_date,scenario_id,trajectory_id,worker_id,hazard_id,window_started_at,window_ended_at,window_duration_seconds,sample_count,rssi_mean,rssi_peak,rssi_min,rssi_std,rssi_slope,warning_duration_seconds,danger_duration_seconds,state_transition_count,packet_loss_ratio,acceleration_mean_g,acceleration_max_g,acceleration_energy,gyroscope_mean_dps,gyroscope_max_dps,gyroscope_energy,orientation_change_deg,sudden_motion,hazard_active,repeated_exposure_count,hazard_type,escalated_within_horizon,target_source,data_origin
WIN-0000001,P001,S01,2026-01-15,NORMAL_PASSAGE,TRJ-P001-S01-000001,W01,F03,2026-01-15T07:00:00+00:00,2026-01-15T07:00:10.109057+00:00,10.109,51,-87.194,-84.412,-89.163,1.88,-0.1424,1.82,0.0,0,0.0428,0.8797,1.109,0.0256,22.21,49.099,229.327,17.46,False,True,0,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000002,P002,S01,2026-01-18,PROLONGED_DANGER,TRJ-P002-S01-000001,W02,F02,2026-01-18T07:00:00+00:00,2026-01-18T07:00:10.273584+00:00,10.274,51,-61.248,-54.718,-67.75,4.724,1.4498,2.595,6.224,4,0.0549,0.9715,1.5269,0.2057,13.678,86.944,1124.251,23.212,True,True,2,FORKLIFT,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000003,P003,S01,2026-01-21,RSSI_FLUCTUATION,TRJ-P003-S01-000001,W03,G01,2026-01-21T07:00:00+00:00,2026-01-21T07:00:09.814039+00:00,9.814,49,-74.041,-61.163,-85.535,8.879,0.3296,2.636,0.417,7,0.1045,1.323,1.4781,0.0816,23.735,37.276,272.12,0.0,False,False,0,GRINDING_MACHINE,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000004,P004,S01,2026-01-24,FALL_CANDIDATE,TRJ-P004-S01-000001,W04,G01,2026-01-24T07:00:00+00:00,2026-01-24T07:00:09.709020+00:00,9.709,78,-64.615,-58.911,-73.118,6.039,1.655,1.148,2.539,2,0.0545,1.3114,3.5153,1.8573,101.939,345.468,28891.664,75.537,True,True,1,GRINDING_MACHINE,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000005,P005,S01,2026-01-27,FORKLIFT_APPROACH,TRJ-P005-S01-000001,W05,F03,2026-01-27T07:00:00+00:00,2026-01-27T07:00:10.537666+00:00,10.538,84,-67.903,-64.521,-71.18,1.729,3.7281,2.868,2.243,1,0.0517,1.0607,1.5998,0.1276,22.719,114.09,1588.016,31.643,True,True,2,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000006,P006,S01,2026-01-30,NORMAL_PASSAGE,TRJ-P006-S01-000001,W06,F01,2026-01-30T07:00:00+00:00,2026-01-30T07:00:10.383487+00:00,10.383,83,-82.072,-78.296,-85.946,2.64,-0.4352,1.093,0.289,2,0.0748,1.0449,1.4034,0.085,23.741,34.802,286.239,0.163,False,False,0,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000007,P007,S01,2026-02-02,REPEATED_EXPOSURE,TRJ-P007-S01-000001,W07,F03,2026-02-02T07:00:00+00:00,2026-02-02T07:00:10.305450+00:00,10.305,82,-66.413,-63.49,-69.92,3.151,1.1702,2.764,3.424,1,0.0661,1.1348,1.9546,0.3216,33.801,117.31,3702.925,20.758,False,True,8,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000008,P008,S01,2026-02-05,FORKLIFT_CROSSING,TRJ-P008-S01-000001,W08,F02,2026-02-05T07:00:00+00:00,2026-02-05T07:00:09.729551+00:00,9.73,78,-62.37,-57.476,-69.282,3.695,1.7311,3.55,1.728,5,0.0137,1.039,2.0063,0.25,50.201,174.251,3787.98,34.882,True,True,2,FORKLIFT,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000009,P009,S01,2026-02-08,REPEATED_EXPOSURE,TRJ-P009-S01-000001,W09,G01,2026-02-08T07:00:00+00:00,2026-02-08T07:00:09.879529+00:00,9.88,79,-59.875,-55.419,-64.259,2.309,-0.8468,4.357,2.034,2,0.0513,1.4505,1.8586,0.2261,42.492,93.887,739.233,32.886,False,True,11,GRINDING_MACHINE,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000010,P010,S01,2026-02-11,HAZARD_INACTIVE,TRJ-P010-S01-000001,W10,L01,2026-02-11T07:00:00+00:00,2026-02-11T07:00:09.748986+00:00,9.749,97,-55.577,-47.592,-63.081,4.136,1.2325,4.394,0.0,0,0.034,1.145,1.5906,0.0937,23.715,68.268,752.012,18.365,False,False,0,LASER_CUTTER,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000011,P011,S01,2026-02-14,NORMAL_PASSAGE,TRJ-P011-S01-000001,W11,F02,2026-02-14T07:00:00+00:00,2026-02-14T07:00:10.080271+00:00,10.08,81,-80.043,-71.933,-85.869,3.816,-0.3883,1.557,0.0,2,0.0532,1.0218,1.5108,0.1345,23.214,77.812,1023.676,24.463,False,True,0,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000012,P012,S01,2026-02-17,FORKLIFT_APPROACH,TRJ-P012-S01-000001,W12,F02,2026-02-17T07:00:00+00:00,2026-02-17T07:00:09.988354+00:00,9.988,100,-65.226,-61.691,-69.251,2.544,2.4971,2.467,0.993,2,0.0,1.2518,1.6527,0.128,22.905,96.455,1292.059,16.135,False,True,2,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000013,P013,S01,2026-02-20,IMPACT_CANDIDATE,TRJ-P013-S01-000001,W13,L01,2026-02-20T07:00:00+00:00,2026-02-20T07:00:10.170209+00:00,10.17,51,-62.436,-57.686,-68.636,3.91,1.0541,3.237,1.829,2,0.0229,1.5458,4.8976,4.5417,95.16,267.079,11354.73,65.814,False,True,1,LASER_CUTTER,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000014,P014,S01,2026-02-23,FORKLIFT_APPROACH,TRJ-P014-S01-000001,W14,F03,2026-02-23T07:00:00+00:00,2026-02-23T07:00:10.309646+00:00,10.31,82,-69.703,-63.34,-76.196,4.393,2.6844,3.806,0.786,4,0.0189,1.1818,1.6729,0.1679,30.734,79.452,665.7,22.35,True,True,2,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000015,P015,S01,2026-02-26,NORMAL_PASSAGE,TRJ-P015-S01-000001,W15,L01,2026-02-26T07:00:00+00:00,2026-02-26T07:00:09.577967+00:00,9.578,77,-83.566,-79.662,-87.838,1.819,0.3242,0.25,0.0,3,0.1244,1.0418,1.7137,0.2357,12.935,15.808,22.712,11.794,False,True,0,LASER_CUTTER,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000016,P016,S01,2026-03-01,FORKLIFT_APPROACH,TRJ-P016-S01-000001,W16,F03,2026-03-01T07:00:00+00:00,2026-03-01T07:00:09.959083+00:00,9.959,100,-64.159,-58.05,-71.04,4.781,2.2949,4.315,1.228,4,0.0587,1.1509,2.0536,0.5924,28.36,87.196,2082.704,37.054,False,True,1,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000017,P017,S01,2026-03-04,PROLONGED_DANGER,TRJ-P017-S01-000001,W17,F02,2026-03-04T07:00:00+00:00,2026-03-04T07:00:10.578094+00:00,10.578,53,-54.441,-52.069,-60.245,3.088,0.7095,2.545,4.443,2,0.0772,1.0077,1.7706,0.3063,17.328,88.863,1033.237,27.494,False,True,2,FORKLIFT,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000018,P018,S01,2026-03-07,FORKLIFT_APPROACH,TRJ-P018-S01-000001,W18,F02,2026-03-07T07:00:00+00:00,2026-03-07T07:00:09.858267+00:00,9.858,79,-70.012,-63.858,-75.541,5.029,2.6878,3.674,0.616,2,0.1005,1.4202,2.4376,0.7284,10.507,59.713,996.29,26.329,False,False,0,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000019,P019,S01,2026-03-10,FORKLIFT_APPROACH,TRJ-P019-S01-000001,W19,F01,2026-03-10T07:00:00+00:00,2026-03-10T07:00:09.847298+00:00,9.847,79,-66.205,-59.976,-71.771,3.34,0.9876,4.639,1.02,2,0.0571,1.2149,1.6813,0.2102,16.539,104.117,1401.266,27.427,True,True,2,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
